code,short_definition,source_doc,first_seen_case,alias_note,example,example_ref
addresses-real-confusion,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 00eda7de9d7f42fcb3d9de0960a0b52a · pre_submit,,"It's great that you're trusting your instincts, but let's make sure your choice aligns with the rule we're focusing on. The rule here is about removing redundancy. Would you like to explore how the ve",00eda7de9d7f42fcb3d9de0960a0b52a
builds-on-learner-hypothesis,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 2b4cf8ce44c34eeebf204dcefbe8836c · pre_submit,,"Let's explore that further. Consider the single-word choices: which one carries the emphasis on its own, without repeating another word's work?",2b4cf8ce44c34eeebf204dcefbe8836c
declines-to-confirm-answer,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 2da8c5cd34124a1182b9acfbdb158ce3 · pre_submit,,Let's explore your reasoning a bit more to help you decide. Who was walking to the store in the original sentence? Try to say it in your own words before you look at the choices again.,2da8c5cd34124a1182b9acfbdb158ce3
dodges-direct-ask,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 045fb5f33d7143aa813de7d4999ef4eb · post_feedback,,Let's explore why this question might have been challenging or straightforward. What was your initial thought process when you read the sentences and the transition options?,045fb5f33d7143aa813de7d4999ef4eb
elicits-evidence,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 0b9d1f60dbe04811a7ffd7177ed7180e · pre_submit,,"Let's focus on the subject of the sentence. Cover the phrase ""of the runners"" and read what's left. What is the subject of this sentence, in your own words?",0b9d1f60dbe04811a7ffd7177ed7180e
empty-praise,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 3fec3834ab76468e9bef061e9a2065be · pre_submit,,"You're making progress by eliminating choices! Let's focus on the remaining options. How do you see the relationship between the two sentences? Is it about time, contrast, or something else? This will",3fec3834ab76468e9bef061e9a2065be
fluent-but-wrong,,coach_phase2_open_coding.md (Task 3.3 open coding),trace bfa126d9f1724c3cad98dfe557f62652 · pre_submit,,"The test underlines only part of the sentence to highlight the specific section that contains the issue or error that needs to be addressed. In this case, the underlined part ""the rain soaked Maria's ",bfa126d9f1724c3cad98dfe557f62652
gives-concrete-move,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 096310a6955645c1b63b98c8f757ddb1 · pre_submit,,"Sure, let's take a closer look at the sentence together. The sentence is: ""The report was very extremely thorough in its analysis."" What do you notice about the use of the words ""very"" and ""extremely""",096310a6955645c1b63b98c8f757ddb1
hands-over-conclusion,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 00eda7de9d7f42fcb3d9de0960a0b52a · pre_submit,,"It's great that you're trusting your instincts, but let's make sure your choice aligns with the rule we're focusing on. The rule here is about removing redundancy. Would you like to explore how the ve",00eda7de9d7f42fcb3d9de0960a0b52a
ignores-affect-bid,,coach_phase2_open_coding.md (Task 3.3 open coding),trace be853f87bcae49cf821da9be6c9469ae · pre_submit,,"Let's focus on understanding the structure of the sentence. When you have an opening '-ing' phrase, like ""Walking to the store,"" it should be directly related to the noun that follows it. This noun sh",be853f87bcae49cf821da9be6c9469ae
ignores-learner-hypothesis,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 1e28adc283db4686afe974ee232ea5f9 · pre_submit,,"Let's focus on understanding the subject of the sentence. Cover the phrase ""of the runners"" and read what's left. What is the subject of this sentence, in your own words?",1e28adc283db4686afe974ee232ea5f9
leak-strong-implication,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 00eda7de9d7f42fcb3d9de0960a0b52a · pre_submit,,"It's great that you're trusting your instincts, but let's make sure your choice aligns with the rule we're focusing on. The rule here is about removing redundancy. Would you like to explore how the ve",00eda7de9d7f42fcb3d9de0960a0b52a
names-specific-locus,,coach_phase2_open_coding.md (Task 3.3 open coding),trace 05fa7a8872184c28a9688c9789753204 · pre_submit,,"Sure! Let's break down the sentence to understand its meaning. The sentence is: ""The museum, which opened in 1974 has welcomed millions of visitors.""

The main part of the sentence is ""The museum has ",05fa7a8872184c28a9688c9789753204
