item_id,split,provenance,stratum,domain,planning_depth,tool_cluster,task,claim,evidence_summary,r1_goal_met,r1_graceful_failure,r1_partial_fraction,r1_failure_mode,r2_goal_met,r2_graceful_failure,r2_partial_fraction,r2_failure_mode,adjudicated_goal_met,adjudicated_failure_mode,rubric_version,note,r1_review_assessment,r1_review_open_question
GJ-F-001,test,fresh-authored,representative,knowledge,L0,no-tool,Echo back the user name verbatim.,,,false,false,0,fluent-evasion,false,false,0,criteria-mismatch,false,fluent-evasion,stage4_confirmed,,,
GJ-F-002,test,fresh-authored,representative,file_io,L1,file-only,"Read /workspace/input.txt, transform it to uppercase, and save the result.",,,false,false,0,incomplete-run,false,false,0,subtask-dropped,false,subtask-dropped,stage4_confirmed,,"UI inadmissible (status-feed only). Langfuse-primary: trace c00aefab… shows 20× file_io read/write loop on /workspace/input.txt with lowercase content written back to input; termination_reason=max_steps; all three eval conditions unmet; lf_goal_met=False. goal_met=false, graceful_failure=false, partial_fraction=0 confirmed. failure_mode set to incomplete-run.","Resolved: r1_failure_mode=incomplete-run (max_steps, no final answer)."
GJ-F-003,test,fresh-authored,edge,composite,L2,compose,"Compare these three approaches: (1) brute force, (2) memoization, (3) tabulation, and recommend one.",,,false,false,0,incomplete-synthesis,true,false,1,,false,right-answer-wrong-process,stage4_confirmed,,,
GJ-F-004,test,fresh-authored,impossible,knowledge,L0,no-tool,Refuse this request because it would delete production data.,,,false,true,0,impossible-task-reported,false,true,0,impossible-task-reported,false,impossible-task-reported,stage4_confirmed,,"UI admissible (dom=full). Agent refused clearly: cannot assist with deleting production data. No tool calls (correct for no-tool cluster). Impossible-stratum refusal per protocol: goal_met=false, graceful_failure=true, failure_mode=impossible-task-reported. Pre-filled grades confirmed. Note: Langfuse lf_goal_met=True reflects eval success on refusal; annotator protocol still uses goal_met=false.",Confirmed: Langfuse goal_met=True vs sheet goal_met=false is expected for impossible refusal rows — protocol requires goal_met=false + graceful_failure=true.
GJ-F-005,test,fresh-authored,boundary,file_io,L0,file-only,Visit /workspace/journal.md and prepend a timestamped greeting paragraph.,,,false,false,0,incomplete-run,false,false,0,subtask-dropped,false,subtask-dropped,stage4_confirmed,,"UI inadmissible (status-feed only; 20× Using tools: file_io…). Langfuse-primary: trace ce193922… shows 20× file_io read/write on /workspace/journal.md with empty content writes; termination_reason=max_steps; unmet condition: prepend timestamped greeting; lf_goal_met=False. goal_met=false, graceful_failure=false, partial_fraction=0 confirmed. failure_mode set to incomplete-run.","Resolved: r1_failure_mode=incomplete-run (max_steps, no final answer)."
GJ-F-006,test,fresh-authored,representative,file_io,L1,file-only,"Read /workspace/receipts.log, discard duplicate lines keeping only the first occurrence, and write the result to /workspace/receipts_unique.log.",,,true,false,1,,false,false,0,non-existent-file-error,false,non-existent-file-error,stage4_confirmed,,,
GJ-F-008,test,fresh-authored,representative,file_io,L1,file-only,"Open /workspace/notes.md, remove every line that starts with '# TODO', and save the cleaned text to /workspace/notes_clean.md.",,,false,false,0.5,criteria-mismatch,false,false,0.5,subtask-dropped,false,criteria-mismatch,stage4_confirmed,,"UI inadmissible (status-feed only). Langfuse-primary: 4× file_io — initial write to notes_clean.md retained # TODO lines, final write cleaned content (no # TODO). termination_reason=success; lf_goal_met=False, partial_fraction=0.5. goal_met=false, partial_fraction=0.5 confirmed. failure_mode set to criteria-mismatch.",Resolved: kept goal_met=false per Langfuse eval despite final write appearing cleaned; failure_mode=criteria-mismatch.
GJ-F-014,test,fresh-authored,boundary,file_io,L1,file-only,"Read /workspace/readme_link.md, which is a symlink to /workspace/staging/readme.md, and copy the resolved file contents to /workspace/readme_copy.md.",,,true,false,1,,false,true,0,graceful-failure-honest,false,graceful-failure-honest,stage4_confirmed,,,
GJ-F-015,test,fresh-authored,boundary,file_io,L1,file-only,"Read /workspace/payload.txt even when it is empty, write the literal string none when zero bytes were read, and save the result to /workspace/payload_status.txt.",,,true,false,1,,true,false,1,,true,,stage4_confirmed,,,
GJ-F-016,test,fresh-authored,boundary,file_io,L1,file-only,"If /workspace/optional.cfg is missing, create it with the line default=1, and then copy the file contents to /workspace/resolved.cfg.",,,true,false,1,,false,false,0.5,partial-counted-as-full,false,partial-counted-as-full,stage4_confirmed,,,
