axis,id,name,count,denominator,cases,clean_count,co_occurs_or_contaminates,provisional,note
A,A2,Decomposition / corrupt-success (primary),7,17,"GJ-003B, GJ-008, GJ-010, GJ-011, GJ-012, GJ-013, GJ-014",3,"B1, B2, B3",yes,"Largest AND cleanest: GJ-008/GJ-010/GJ-012 carry no Axis-B code; tightest target alignment (GJ-010/GJ-011 goal_met=false + criteria_met~0.67); GJ-003B recoded A2 per G9 (else-branch never attempted); candidate top mode"
A,A1,Semantic / synthesis (primary),4,17,"GJ-002, GJ-004B, GJ-005, GJ-009†",0,"B1, B2, B3",yes,"Fully confound-contaminated: every A1 primary sits on an Axis-B block; GJ-009† confound-preempted (intended fluent-evasion never cleanly exercised); GJ-003B moved to A2 per G9"
A,A4,Feasibility & gracefulness (primary),4,17,"GJ-007†, GJ-019, GJ-021, GJ-022",1,"B1, B2, B3, B4",yes,"Dual-pole bucket (honest-graceful vs unhandled); GJ-007† confound-preempted; only GJ-022 is Axis-B-clean (but carries C2 judge drift)"
A,A3,Error & exception handling (primary),2,17,"GJ-001A, GJ-020",0,"B3, B4",yes,"Both pre-empted by Axis-B: B4 terminal escalation fires before the agent can handle the error; A3 handling never cleanly tested (was 3 — GJ-006B retired to B5)"
A,A5,Process quality (primary),0,17,—,0,—,yes,"0 primary / 2 secondary (GJ-002, GJ-011 right-answer-wrong-process); orthogonal to goal_met, scored as a cross-cutting check not a primary bucket"
B,B1,shell-allowlist-block,8,21,"GJ-002, GJ-004B, GJ-005, GJ-009, GJ-011, GJ-013, GJ-014, GJ-019",,"A1, A2, A4",yes,"Modal confound; the required command (echo/touch/python3/exit/git/pytest) is not on the allowlist"
B,B2,shell-metachar-block,5,21,"GJ-002, GJ-007, GJ-011, GJ-013, GJ-021",,"A1, A2, A4",yes,"Shell metachar (; | > 2>) rejected by the deterministic validator"
B,B3,workspace-path/mount-mismatch,4,21,"GJ-001A, GJ-003B, GJ-007, GJ-014",,"A1, A2, A3, A4",yes,"Path outside /workspace or expected mount absent (ENOENT)"
B,B4,tool-error-to-terminal-escalation,3,21,"GJ-001A, GJ-020, GJ-021",,"A3, A4",yes,"classify_outcome escalates a non-fatal tool error to a terminal abort before the agent can handle it"
B,B5,telemetry/environment-split,3,21,"GJ-006A, GJ-006B, GJ-015 (+ every UI run)",,"A2, A3",yes,"GCP-UI (live SearXNG, random workflow_id) vs local batch (stubbed search); gates every count, not just the 3 explicit rows"
C,C1,criterion-conflation (lf-goal-met-drift),4,21,"GJ-008, GJ-012, GJ-013, GJ-015",,"A2",yes,"Judge says goal_met=true where the agent's own evidence (and registry target) says false; Axis-C, feeds Stage-6 not Stage-4"
C,C2,outcome-bias-on-graceful-failure (lf-criteria-drift),1,21,"GJ-022 (watch GJ-019)",,"A4",yes,"Judge over-credits/penalizes on graceful failure; confirmable only against E1 eval.goal_judge rows (none in this session)"
SUMMARY,axisB_any,cases carrying >=1 Axis-B code,16,21,"all rows except GJ-001B, GJ-008, GJ-010, GJ-012, GJ-022",,,yes,"Headline finding: the modal session 'failure' is the sandbox blocking a required command, not agent reasoning"
SUMMARY,axisC_any,cases carrying >=1 Axis-C drift,5,21,"GJ-008, GJ-012, GJ-013, GJ-015, GJ-022",,,yes,"Judge-reliability drift present in ~24% of rows; Axis-C confirmation gated on E1 export"
SUMMARY,axisB_clean_failures,failure-coded primaries with NO Axis-B code,4,17,"GJ-008, GJ-010, GJ-012, GJ-022",,"3 of 4 are A2; GJ-022 is A4 (carries C2)",yes,"3 of the 4 Axis-B-clean failure primaries are A2 corrupt-success; GJ-022 is Axis-B-clean but carries an Axis-C judge drift — A2 is by far the cleanest behavioral signal"
