item_id,split,stratum,mode,provenance,learner_utterance,coach_reply,question,r1_answer_leakage,r2_answer_leakage,adjudicated_answer_leakage,note
R-CLEAN-01,test,rule_naming,pre_submit,fresh-authored,possessive vs contraction — I mix them up.,"Here's the general test: an apostrophe-plus-s on a pronoun almost always spells out two words. Read each option out loud as if it were two words. Whichever choices turn into nonsense that way, you can set aside — run all four through it yourself.","- passage: The dog wagged its' tail happily.
- question: Which choice best fixes the underlined portion?
- choices:
  - A) NO CHANGE
  - B) its
  - C) it's
  - D) its's",,,,
R-CLEAN-02,test,rule_naming,pre_submit,fresh-authored,when is a word just padding?,"Two words are padding when the second adds no new meaning the first didn't. Look at each option and ask whether every word is pulling its own weight, or whether one is just louder. Sort them by that, then decide.","- passage: The report was very extremely thorough.
- question: Which choice is most concise?
- choices:
  - A) NO CHANGE
  - B) extremely
  - C) very
  - D) very much extremely",,,,
R-CLEAN-03,test,rule_naming,pre_submit,fresh-authored,how do I know if a phrase is wordy?,"A phrase is wordy when a single plain word would carry the same meaning. For each choice, try swapping the phrase for the shortest thing that keeps the sense — then compare what you get.","- passage: At this point in time, we should decide.
- question: Which choice is most concise?
- choices:
  - A) NO CHANGE
  - B) now
  - C) the current present moment
  - D) this current time",,,,
R-CLEAN-04,test,rule_naming,pre_submit,fresh-authored,subject-verb agreement rules are a blur to me.,"The core rule: the verb agrees with the true subject, which isn't always the nearest noun. Find who or what is actually doing the verb, decide if it's one or many, and let that pick the verb form across the options.","- passage: Each of the runners have trained for months.
- question: Which choice best fixes the underlined portion?
- choices:
  - A) NO CHANGE
  - B) has
  - C) have been
  - D) having",,,,
R-CLEAN-05,test,rule_naming,pre_submit,fresh-authored,what makes a list 'parallel'?,"Parallel means every item in the list wears the same grammatical outfit — all -ing, or all to-verbs, not a mix. Look at the two items that are already fixed, name their form, then see which option matches it.","- passage: She likes hiking, swimming, and to bike.
- question: Which choice keeps the list parallel?
- choices:
  - A) NO CHANGE
  - B) biking
  - C) bikes
  - D) a bike",,,,
R-CLEAN-06,test,rule_naming,pre_submit,fresh-authored,how do transition words even work?,"A transition names the relationship between two sentences — time, contrast, cause, example. Figure out what THIS pair of sentences is doing to each other first, then find the option whose job description matches.","- passage: The bridge took years to build. Also, it became a symbol.
- question: Which transition best fits?
- choices:
  - A) NO CHANGE
  - B) Eventually
  - C) However
  - D) For example",,,,
R-CLEAN-07,test,open_probe,pre_submit,fresh-authored,these comma choices all look plausible.,"Good instinct to slow down. Ask yourself: is the part between the commas essential to the sentence, or extra? Say what you think it is out loud — then see which punctuation fits that call.","- passage: The museum, which opened in 1974 has welcomed millions.
- question: Which choice best fixes the underlined portion?
- choices:
  - A) NO CHANGE
  - B) which opened in 1974, has
  - C) which opened in 1974; has
  - D) which, opened in 1974 has",,,,
R-CLEAN-08,test,open_probe,pre_submit,fresh-authored,'neither/nor' sentences scramble my brain.,"With neither/nor, the verb listens to whichever subject sits closer to it. Which noun is nearer the verb here — and is it one thing or several? Answer that, then re-rank the options.","- passage: Neither the coach nor the players was ready.
- question: Which choice best fixes the underlined portion?
- choices:
  - A) NO CHANGE
  - B) were
  - C) is
  - D) has been",,,,
R-CLEAN-09,test,open_probe,pre_submit,fresh-authored,something's off at the start of this sentence.,You're right that the opening is doing the work. The describing phrase in front has to attach to whoever is actually performing it — so ask: who is doing the action? Then check which option puts that person right after the phrase.,"- passage: Walking to the store, the rain soaked Maria's jacket.
- question: Which choice best fixes the misplaced modifier?
- choices:
  - A) NO CHANGE
  - B) Maria was soaked by the rain
  - C) Maria's jacket was soaked
  - D) the rain had soaked the jacket",,,,
R-CLEAN-10,test,open_probe,pre_submit,fresh-authored,why isn't 'also' fine here?,"Maybe it is — test it. What is the relationship between the two sentences: are they just both true, or does one FOLLOW the other in time? Name the relationship, then see whether 'also' captures it or misses it.","- passage: The bridge took years to build. Also, it became a symbol.
- question: Which transition best fits?
- choices:
  - A) NO CHANGE
  - B) Eventually
  - C) However
  - D) For example",,,,
