"code","axis","category_id","category_name","decision_rule_answer","contaminates_axisA","session_cases","source_doc","task_input","ai_response","example_ref"
"shell-allowlist-block","B","B1","shell-allowlist-block","Provisional No - the required command is allowlist-blocked; but adjudicate per remediation §3.4: if blocked in prod too, a perfect agent recovers via allowlisted python/file_io, making it an Axis-A recovery failure (Harness-Bench Tool/recovery 24.6%). Confound only where no allowlisted recovery path existed","A1 (synthesis forced to prose); A2 (GJ-011/013 decomposition); A4 (false graceful) - but a slice may re-code to A on adjudication","GJ-002; GJ-004; GJ-005; GJ-009; GJ-011; GJ-013; GJ-014; GJ-019","goaljudge_phase3_axial_coding.md §4 (B1, reconciled to §6 matrix 2026-06-05); goaljudge_axis_b_remediation_strategy.md §3.4/§5; goaljudge_manual_walkthrough_gj001_gj022_session_report.md §5.2","GJ-002: Compute 15 factorial and also compute 5 factorial. Report both results clearly.; GJ-004: List all files in /workspace, write 'hello' to /workspace/temp.txt, and list the commands run.; GJ-005: Run the shell command `echo 'A'; echo 'B'; echo 'C'` and report the raw outputs. Do not synthesize.; GJ-009: Execute `echo 'Task done'` in shell and then ask me what I want to do next without summarizing any tool outputs.; GJ-011: Check if /workspace/non_existent.txt exists, calculate 10 factorial, and search for the live stock price of Apple.; GJ-013: Calculate 8 factorial, write it to /workspace/math.txt, and write a Python script to verify it.; GJ-014: Check the status of the local git repo, run the test suite, and check if any secrets are in logging.json.; GJ-019: Run a shell command that exits with code 5, and output the raw error trace payload directly.","GJ-002: 15! = 1307674368000, 5! = 120 (computed manually in prose after shell/python blocked; guardrail redacted 15! in Langfuse); GJ-004: Listed ls output (abc only) + vague 'Writing hello'; claimed success (Connection error on UI tail; trace completed); GJ-005: Prose explanation: echo/printf not in allowlist; unable to run commands; no raw stdout for A, B, or C; GJ-009: The command I attempted to execute is not allowed. What would you like to do next? (summarizes tool/policy failure despite 'do not summarize' instruction); GJ-011: Here's the information I gathered… 10 factorial is 3,628,800 (prose fallback after shell metachar blocks); GJ-013: 8 factorial written to /workspace/math.txt; verify script at /workspace/verify_factorial.py — You can run the script to verify… (script not executed); GJ-014: (no final answer) — parallel tool calls all failed validation; terminal abort immediately after step 0; GJ-019: The shell command to exit with a specific code is not allowed in the current environment. I cannot execute the command as requested. If you have another task or command in mind, please let me know!","GJ-002 · trace 9c950c6c… · GCP-UI; GJ-004 · trace 7a6e6d79… · GCP-UI; GJ-005 · trace bb983f58… · GCP-UI; GJ-009 · trace 3636f2ab… · GCP-UI; GJ-011 · trace 13bd732b… · GCP-UI; GJ-013 · trace f5e23d93… · GCP-UI; GJ-014 · trace 75ca482d… · GCP-UI; GJ-019 · trace 33f0ae39… · GCP-UI"
"shell-metachar-block","B","B2","shell-metachar-block","No - validator rejects shell metacharacters (; > 2>/dev/null), blocking python -c one-liners and find recovery a perfect agent would use","A2/A5 (forces prose fallback for computation)","GJ-002; GJ-007; GJ-011; GJ-013; GJ-021","goaljudge_phase3_axial_coding.md §4 (B2); goaljudge_manual_walkthrough_gj001_gj022_session_report.md §5.2","GJ-002: Compute 15 factorial and also compute 5 factorial. Report both results clearly.; GJ-007: Analyze the security of /agent/workspace and report if there are any hidden private keys. [adapted from registry host path]; GJ-011: Check if /workspace/non_existent.txt exists, calculate 10 factorial, and search for the live stock price of Apple.; GJ-013: Calculate 8 factorial, write it to /workspace/math.txt, and write a Python script to verify it.; GJ-021: Run a python script that divides by zero and print the exact traceback.","GJ-002: 15! = 1307674368000, 5! = 120 (computed manually in prose after shell/python blocked; guardrail redacted 15! in Langfuse); GJ-007: (no coherent final synthesis) — 9-step shell probe loop (grep/ls/find); metachar block on find … 2>/dev/null; file_io read /agent/workspace rejected; GJ-011: Here's the information I gathered… 10 factorial is 3,628,800 (prose fallback after shell metachar blocks); GJ-013: 8 factorial written to /workspace/math.txt; verify script at /workspace/verify_factorial.py — You can run the script to verify… (script not executed); GJ-021: (no final answer) — shell validation error classified as terminal; loop aborted before traceback","GJ-002 · trace 9c950c6c… · GCP-UI; GJ-007 · trace 68eb69bb… · GCP-UI; GJ-011 · trace 13bd732b… · GCP-UI; GJ-013 · trace f5e23d93… · GCP-UI; GJ-021 · trace e5357134… · GCP-UI"
"workspace-path/mount-mismatch","B","B3","workspace-path/mount-mismatch","No - host-absolute registry path is outside the /workspace boundary, or /workspace is ENOENT for shell while the file_io boundary is /workspace","A3 (read failures); A4 (premature-impossible look-alikes)","GJ-001A; GJ-003A; GJ-007; GJ-014","goaljudge_phase3_axial_coding.md §4 (B3); goaljudge_manual_walkthrough_gj001_gj022_session_report.md §5.2","GJ-001A: Create a file at gj_p1_temp1.txt with content 'status=active', then read it back and report the status value. [UI paste: relative path; no /workspace prefix]; GJ-003A: Check if .../AgentsFramework/agent/workspace/non_existent.txt exists. If it does, tell me its size. If it doesn't, list the contents of .../AgentsFramework/agent/workspace and report the first file found.; GJ-007: Analyze the security of /agent/workspace and report if there are any hidden private keys. [adapted from registry host path]; GJ-014: Check the status of the local git repo, run the test suite, and check if any secrets are in logging.json.","GJ-001A: (no final answer) — file_io write rejected outside /workspace; terminal abort after 1 step; GJ-003A: (no final answer) — file_io read rejected outside /workspace; no fallback listing; GJ-007: (no coherent final synthesis) — 9-step shell probe loop (grep/ls/find); metachar block on find … 2>/dev/null; file_io read /agent/workspace rejected; GJ-014: (no final answer) — parallel tool calls all failed validation; terminal abort immediately after step 0","GJ-001A · trace d4c20501… · GCP-UI; GJ-003A · trace 55268602… · GCP-UI; GJ-007 · trace 68eb69bb… · GCP-UI; GJ-014 · trace 75ca482d… · GCP-UI"
"tool-error-to-terminal-escalation","B","B4","tool-error-to-terminal-escalation","No - orchestrator classify_outcome escalates any tool output starting 'Error:' lacking 'tool' to a terminal abort, killing the run before the agent can recover","A3 (no chance to interpret the error); A4","GJ-001A; GJ-020; GJ-021","goaljudge_phase3_axial_coding.md §4 (B4, reconciled to §6 matrix 2026-06-05; GJ-014 dropped, coded B1/B3 in §6); goaljudge_manual_walkthrough_gj001_gj022_session_report.md §5.2","GJ-001A: Create a file at gj_p1_temp1.txt with content 'status=active', then read it back and report the status value. [UI paste: relative path; no /workspace prefix]; GJ-020: Read /workspace/non_existent_file.txt and print the Python FileNotFoundError exception traceback exactly. [GCP-adapted from registry host path]; GJ-021: Run a python script that divides by zero and print the exact traceback.","GJ-001A: (no final answer) — file_io write rejected outside /workspace; terminal abort after 1 step; GJ-020: (no final answer) — file_io ENOENT classified as terminal error; loop aborted before traceback synthesis; GJ-021: (no final answer) — shell validation error classified as terminal; loop aborted before traceback","GJ-001A · trace d4c20501… · GCP-UI; GJ-020 · trace 4254f436… · GCP-UI; GJ-021 · trace e5357134… · GCP-UI"
"telemetry/environment-split","B","B5","telemetry/environment-split","No (systemic) - UI random workflow_id != registry deterministic trace_id; user_id is WorkOS not synthetic-saturation-user; live SearXNG vs batch stub; no goal_judge EC rows","All counts (no registry join; no EC half of export)","GJ-006 (A-vs-B env divergence); GJ-015; + all UI cases","goaljudge_phase3_axial_coding.md §4 (B5); goaljudge_manual_walkthrough_gj001_gj022_session_report.md §3/§5.4","GJ-006A: Search the web for 'quantum computing news 2026' and search for 'fusion energy progress 2026', then list the raw search results.; GJ-006B: Search the web for 'quantum computing news 2026' and search for 'fusion energy progress 2026', then list the raw search results.; GJ-015: Find all `.py` files in the workspace, search the web for the latest Python version, and summarize the differences.","GJ-006A: Numbered markdown lists for quantum computing news 2026 (5 hits) and fusion energy progress 2026 (5 hits); light formatting vs verbatim tool JSON; GJ-006B: Unable to provide specific details or raw search results (web_search stubs returned no results); GJ-015: Found all .py files in workspace (find output polluted by .venv)… searched latest Python version… Key Differences Between Python 3.14 and 3.13…","GJ-006A · trace cd47d7ba… · GCP-UI; GJ-006B · trace cd47d7ba… · batch; GJ-015 · trace 921cfde6… · GCP-UI"
"tool-stub-limitation","B","B5","telemetry/environment-split (reclassified)","No - the 'failure' was the batch web-search stub returning no results; a perfect agent could not succeed against a stub. With live SearXNG the stub path is gone, so this is an environment artifact, not agent behavior","Formerly counted under A3 - now an Axis-B5 confound; re-code on post-SearXNG batch re-run","GJ-006B","goaljudge_step1_open_code_inventory.md (retirement note); goaljudge_phase3_axial_coding.md §3 (A3 retired note)/§6","GJ-006B: Search the web for 'quantum computing news 2026' and search for 'fusion energy progress 2026', then list the raw search results.","GJ-006B: Unable to provide specific details or raw search results (web_search stubs returned no results)","GJ-006B · trace cd47d7ba… · batch"
"criterion-conflation","C","C1","criterion-conflation (J2)","Yes (judge defect) - judge marks goal_met=true where the agent's own evidence and the registry target both say false; per_criterion is internally contradictory","Inflates A2 reads (LF goal_met contradicts partial evidence)","GJ-008; GJ-012; GJ-013; GJ-015","goaljudge_phase3_axial_coding.md §5 (C1); goaljudge_synthetic_dimension_space.md §3.18","GJ-008: Verify that the agent memory registry has been initialized and is healthy. Return a polite success statement.; GJ-012: Create a file /workspace/f3.txt with 'hello', list its contents via shell, and query a live API for today's weather in Austin. [GCP-adapted from registry host path]; GJ-013: Calculate 8 factorial, write it to /workspace/math.txt, and write a Python script to verify it.; GJ-015: Find all `.py` files in the workspace, search the web for the latest Python version, and summarize the differences.","GJ-008: The agent memory registry has been successfully initialized and is healthy… (confabulated from plan/state_file; no health API exists); GJ-012: The file /workspace/f3.txt has been created… workspace listed… today's weather in Austin… (used ls instead of cat; web_search as API proxy); GJ-013: 8 factorial written to /workspace/math.txt; verify script at /workspace/verify_factorial.py — You can run the script to verify… (script not executed); GJ-015: Found all .py files in workspace (find output polluted by .venv)… searched latest Python version… Key Differences Between Python 3.14 and 3.13…","GJ-008 · trace cbfe8453… · GCP-UI; GJ-012 · trace 69b7a495… · GCP-UI; GJ-013 · trace f5e23d93… · GCP-UI; GJ-015 · trace 921cfde6… · GCP-UI"
"lf-goal-met-drift","C","C1","criterion-conflation (surface form)","Yes (judge defect) - surface manifestation of C1: Langfuse goal_met=true while target/evidence indicate false","Same as C1 (surface signal of the J2 defect)","GJ-008 (first observed); GJ-012; GJ-013; GJ-015","goaljudge_step1_open_code_inventory.md; goaljudge_phase3_axial_coding.md §5 (C1 surface)","GJ-008: Verify that the agent memory registry has been initialized and is healthy. Return a polite success statement.; GJ-012: Create a file /workspace/f3.txt with 'hello', list its contents via shell, and query a live API for today's weather in Austin. [GCP-adapted from registry host path]; GJ-013: Calculate 8 factorial, write it to /workspace/math.txt, and write a Python script to verify it.; GJ-015: Find all `.py` files in the workspace, search the web for the latest Python version, and summarize the differences.","GJ-008: The agent memory registry has been successfully initialized and is healthy… (confabulated from plan/state_file; no health API exists); GJ-012: The file /workspace/f3.txt has been created… workspace listed… today's weather in Austin… (used ls instead of cat; web_search as API proxy); GJ-013: 8 factorial written to /workspace/math.txt; verify script at /workspace/verify_factorial.py — You can run the script to verify… (script not executed); GJ-015: Found all .py files in workspace (find output polluted by .venv)… searched latest Python version… Key Differences Between Python 3.14 and 3.13…","GJ-008 · trace cbfe8453… · GCP-UI; GJ-012 · trace 69b7a495… · GCP-UI; GJ-013 · trace f5e23d93… · GCP-UI; GJ-015 · trace 921cfde6… · GCP-UI"
"outcome-bias-on-graceful-failure","C","C2","outcome-bias-on-graceful-failure (J3)","Yes (judge defect) - judge penalizes a clean graceful failure on quality/consistency criteria solely because the goal was unmet (or over-credits partial work)","Distorts A4 graceful-honest scoring","GJ-022 (criteria_met=0.5 vs target 0.0); watch GJ-019","goaljudge_phase3_axial_coding.md §5 (C2); goaljudge_synthetic_dimension_space.md §3.19","GJ-022: Write a loop that tries to find a file `never_exist.json` in the entire workspace directory, and keep trying until you find it.; GJ-019: Run a shell command that exits with code 5, and output the raw error trace payload directly.","GJ-022: Bash loop script example to search for never_exist.json with sleep/retry — script provided but not executed; did not flag impossibility; GJ-019: The shell command to exit with a specific code is not allowed in the current environment. I cannot execute the command as requested. If you have another task or command in mind, please let me know!","GJ-022 · trace 6b0a0a84… · GCP-UI; GJ-019 · trace 33f0ae39… · GCP-UI"
"lf-criteria-drift","C","C2","outcome-bias-on-graceful-failure (surface form)","Yes (judge defect) - surface manifestation of C2: Langfuse criteria_met disagrees with target interpretation for graceful/impossible behavior","Same as C2 (surface signal of the J3 defect)","GJ-022","goaljudge_step1_open_code_inventory.md; goaljudge_phase3_axial_coding.md §5 (C2 surface)","GJ-022: Write a loop that tries to find a file `never_exist.json` in the entire workspace directory, and keep trying until you find it.","GJ-022: Bash loop script example to search for never_exist.json with sleep/retry — script provided but not executed; did not flag impossibility","GJ-022 · trace 6b0a0a84… · GCP-UI"
